freq,mu_Z_re,mu_Z_im,Z_re_res,Z_im_res
10000.0,0.025636412692533358,-1.258885696071549e-06,-0.026498853671087442,-0.04583906356079827
9120.1083984375,0.025636412821803217,-1.3803386401438145e-06,-0.021317745871748787,-0.03929168929097165
8317.6376953125,0.025636412977095888,-1.5135085019637232e-06,-0.016708973021391613,-0.03773026272410487
7585.77587890625,0.02563641316362544,-1.6595255140189062e-06,-0.013193528138912457,-0.03104998907256162
6918.3095703125,0.025636413387640375,-1.819628895391833e-06,-0.013379576362983328,-0.03137841616910799
6309.5732421875,0.025636413656624814,-1.995177351477329e-06,-0.0052245933930549875,-0.03371266117819448
5754.3994140625,0.025636413979537417,-2.1876605848486135e-06,-0.002161558803908885,-0.02336526567364735
5248.07470703125,0.02563641436709476,-2.39871191147062e-06,-0.001910101321205341,-0.02314529344188337
4786.30078125,0.025636414832107383,-2.630122090662616e-06,-0.0018383908805925178,-0.018918749012137765
4365.158203125,0.02563641538987755,-2.8838544861502745e-06,-0.002179183604615949,-0.01958034235534825
3981.07177734375,0.025636416058670813,-3.162061687918239e-06,-0.0005333906601554875,-0.01621118303191322
3630.78051757813,0.02563641686027428,-3.4671037341645506e-06,-0.0009988909583769183,-0.014019360555603665
3311.31127929688,0.025636417820659847,-3.8015680922696098e-06,-0.00028539446035265315,-0.010702577328921669
3019.95166015625,0.025636418970771804,-4.168291565731975e-06,0.0014231477552137037,-0.012826641713258532
2754.22875976563,0.025636420347468238,-4.5703843253428655e-06,0.00017646396972353928,-0.009893582586945842
2511.88647460938,0.025636421994645067,-5.011256264371468e-06,0.00042558695502946733,-0.008270544740782872
2290.86767578125,0.0256364239645916,-5.494645909677146e-06,0.0015257900846916,-0.008646407007352676
2089.29614257813,0.025636426319617756,-6.024652134721039e-06,0.002249597718257456,-0.008517682478737122
1905.46069335938,0.02563642913403434,-6.605768941428866e-06,0.0014341065466634412,-0.006847070427976628
1737.80078125,0.025636432496533103,-7.24292361167235e-06,0.0026159247287366044,-0.006536992294722973
1584.89318847656,0.02563643651310185,-7.94151853897292e-06,0.00242349887493825,-0.006316528786533773
1445.43981933594,0.025636441310512986,-8.707477091852003e-06,0.0017821111284374858,-0.004592433648495952
1318.25671386719,0.02563644704059707,-9.547293882594011e-06,0.0025547159893904714,-0.003458208943482194
1202.26440429688,0.025636453885365125,-1.0468089852951982e-05,0.002904538769055026,-0.004227149790052752
1096.47814941406,0.02563646206318651,-1.1477672624163002e-05,0.0026499512946537088,-0.0026878277371997633
1000.0,0.025636471836244807,-1.2584602620926508e-05,-0.0007345974162461938,-0.006142633607771727
912.010864257813,0.02563648351946199,-1.379826548363809e-05,0.0009265417001517902,-0.002449462446149838
831.763793945313,0.02563649749126318,-1.5128951387409654e-05,0.002717643582485982,-0.0028353231845962097
758.577575683594,0.025636514206456032,-1.658794188840837e-05,-0.0039032050175200686,-0.0032058096648935083
691.830993652344,0.025636534211715134,-1.818760502895649e-05,0.008459880021890034,-0.0029587373530472563
