freq,mu_Z_re,mu_Z_im,Z_re_res,Z_im_res
10000.0,0.021319548865184706,-1.2003004295944585e-05,-0.010430403719320396,-0.028207406520588545
9120.1083984375,0.021319558474252383,-1.3160984624986158e-05,-0.008966362473537718,-0.024892787914384987
8317.6376953125,0.021319570026709377,-1.4430669569430708e-05,-0.008509742089198323,-0.02169939020039983
7585.77587890625,0.021319583915554576,-1.5822831298508287e-05,-0.004400641731537324,-0.022209927100445406
6918.3095703125,0.021319600613242132,-1.7349279747803914e-05,-0.002939553140276968,-0.018790597698913405
6309.5732421875,0.021319620687738138,-1.90229622325824e-05,-0.0035039238592236635,-0.016340788221140882
5754.3994140625,0.02131964482182093,-2.085807269668266e-05,-0.0018250883389132715,-0.014260973022340282
5248.07470703125,0.02131967383626798,-2.2870170775528853e-05,-0.0036154599189391207,-0.01295506177366123
4786.30078125,0.021319708717734753,-2.5076312860580994e-05,-0.00022201153847464794,-0.015099468162199581
4365.158203125,0.021319750652237672,-2.749519452380796e-05,-0.0004625246370594284,-0.010597752165346608
3981.07177734375,0.02131980106541093,-3.0147307393885768e-05,-0.0009025409041983692,-0.009834117651758486
3630.78051757813,0.021319861670842974,-3.3055109182292806e-05,0.0014757822806747735,-0.010317245175341092
3311.31127929688,0.02131993452817505,-3.6243210590701424e-05,0.0006868833562762508,-0.006941355160481501
3019.95166015625,0.02132002211287382,-3.973857846622166e-05,0.0010865418530977174,-0.005228398808953722
2754.22875976563,0.021320127400043982,-4.357075761348649e-05,0.0028415382676157813,-0.0073084214187719865
2511.88647460938,0.02132025396505434,-4.77721117449154e-05,0.00604909600744084,-0.0037045377906424156
2290.86767578125,0.02132040610437033,-5.2378085557285193e-05,-0.00039478788252237176,-0.005097010676864385
2089.29614257813,0.021320588980542524,-5.7427488380377146e-05,0.0020121355547775242,-0.003866260215752977
1905.46069335938,0.021320808796293236,-6.296280249378858e-05,0.0013717619013852364,-0.0029327155038656886
1737.80078125,0.02132107300317811,-6.903051427161823e-05,0.0025995595530324093,-0.0038038827016070183
1584.89318847656,0.021321390551924592,-7.56814708382915e-05,0.003069910017251893,-0.0025509946146428913
1445.43981933594,0.021321772192157144,-8.297126132959754e-05,0.0011331146252521428,-0.0026812746315072974
1318.25671386719,0.021322230831529877,-9.096062293491299e-05,0.003418735251571877,-0.003285340243188913
1202.26440429688,0.021322781965205068,-9.971586948748264e-05,0.006385437026688468,0.0026486678052830173
1096.47814941406,0.021323444189173743,-0.00010930934039520899,0.0007130129799671446,-0.001013293697532409
1000.0,0.02132423981309715,-0.0001198198653491461,0.0016558246243077515,-0.002370396024334646
912.010864257813,0.021325195590348275,-0.00013133323491053915,0.0005359131939125759,-0.0008022279243027391
831.763793945313,0.021326343587111975,-0.0001439426725100763,0.0034978176117653748,-0.0007393972647677762
758.577575683594,0.02132772221343963,-0.00015774928478966486,0.00204068548160043,-0.001685399915822465
691.830993652344,0.02132937744478648,-0.00017286248024451112,0.001608472915691779,-0.0004741818293360111
630.957336425781,0.02133136426263779,-0.00018940031541134602,0.0017976667469116886,-0.0008675996587946459
575.43994140625,0.02133374834829979,-0.00020748974158750803,0.00234303610796149,-0.001346024138474308
524.807434082031,0.021336608064389317,-0.0002272666991560581,0.0017125573577643181,1.7340809492041913e-05
478.630096435547,0.02134003675846111,-0.00024887599291119436,0.0011680778053189088,0.00043383240692470567
436.515838623047,0.021344145421001756,-0.0002724708644948725,0.0010797452517484554,0.00020354437243222747
398.107177734375,0.02134906572399102,-0.0002982121550513205,0.0011184502124544186,0.0001714805948512795
363.078063964844,0.021354953453825522,-0.000326266927369962,0.0008764608511195211,0.000475888191065638
331.131134033203,0.02136199232831866,-0.0003568063719993063,0.0009349403966990612,0.0006171314281546937
301.995178222656,0.0213703981578551,-0.000390002806391029,-0.0003024281024732005,-7.8016728814229e-05
275.422882080078,0.021380423256040077,-0.0004260255212651718,0.0005879333846573777,-0.00035662066362455145
251.18864440918,0.02139236093709176,-0.00046503521001652087,-0.0004640215521126388,-0.0011983549381860208
229.086761474609,0.02140654983686571,-0.0005071766879239594,0.00025660159753920775,0.0007783435778861405
208.929611206055,0.0214233776634474,-0.0005525696031384827,-0.00033332164530559816,0.0005745818199954173
190.54606628418,0.02144328383191619,-0.0006012968957695699,0.00019754161520988897,0.00012946047295893002
173.780090332031,0.021466760238617058,-0.0006533908306217038,0.0005043617393666565,0.0016172066682421961
158.489318847656,0.021494349229668686,-0.0007088166185574322,-0.0010773672279367139,0.0008300361932335677
144.543975830078,0.021526637628483,-0.0007674539211221187,0.0001508622912637994,0.0013319534500113813
131.825668334961,0.02156424556522654,-0.0008290769640633877,-0.00387998077423286,-0.004270048683164387
120.226440429688,0.021607808821752398,-0.0008933345051799356,0.0006389041029956979,0.0006796508133093645
109.647819519043,0.021657953621979135,-0.0009597315832761132,-0.0003500127921148635,0.0005245776234405868
100.0,0.02171526331842815,-0.0010276156878901844,-0.0002777013516339494,0.0004505339841486156
91.2010803222656,0.0217802372594077,-0.0010961705490234552,-0.00029171846614299904,0.0006952450706403449
83.1763763427734,0.021853243473631948,-0.0011644211404948826,-0.000275914084451552,0.0005050783005550175
75.8577575683594,0.0219344682688335,-0.0012312532016927214,-0.0008671172266385002,0.0007499949460928784
69.1830978393555,0.02202386762194359,-0.0012954497536076426,3.0550911948288434e-05,0.00024293716406535736
63.0957336425781,0.022121126502344064,-0.001355745247460243,-0.0004386690263062376,0.00028591952297155705
57.5439949035645,0.022225633012358248,-0.0014108955535417343,2.016660780104762e-05,0.00048735557111586583
52.4807472229004,0.022336473726969612,-0.0014597590545118028,-0.0003673024090710894,8.892002534859728e-05
47.8630104064941,0.022452454813550623,-0.0015013813658040188,-0.00010078979210977751,8.200443128081195e-06
43.6515846252441,0.022572150438339482,-0.001535074315200691,0.0005130991183826816,0.0007115970410600091
39.810718536377,0.022693976089184113,-0.0015604793275690873,-0.0003883882613731869,-4.3981750028587426e-05
36.307804107666,0.022816280610382936,-0.001577606670822409,-1.578334766586323e-05,-0.0004187293949383089
33.1131134033203,0.02293744754401071,-0.0015868449563013714,0.00021188963559490986,-0.00032231064772637137
30.1995162963867,0.02305599494912595,-0.0015889393368361717,-0.001075936415410348,-0.0008696031842938718
27.5422878265381,0.023170663083496596,-0.00158494119298014,0.0005531311431555969,0.0009250227385356599
25.1188640594482,0.02328048156009301,-0.0015761357603452774,0.0001700583230077081,0.0002595260635160227
22.9086761474609,0.023384810872256783,-0.0015639565089271472,1.550603646038179e-05,-0.00011698821517834709
20.8929615020752,0.023483357057122508,-0.0015498957213238521,-4.52563151899163e-06,-0.0002382320666910521
19.0546073913574,0.023576161670593565,-0.0015354197880633619,-0.00012478154608793618,2.0398694238738142e-05
17.3780078887939,0.023663571792156772,-0.0015218955711610452,-1.677429446452633e-05,0.00013488526314865473
15.8489322662354,0.023746195947707844,-0.0015105316095886767,0.00027695647436494497,-0.00019869973481577668
14.4543981552124,0.023824851904615515,-0.0015023352889327766,0.00023023964892301615,-0.00013712512645707668
13.1825675964355,0.023900511279779203,-0.0014980852276110376,-0.0005148718356315987,-0.0003204494852596376
12.0226440429688,0.023974244584150827,-0.0014983168263753498,0.0010193391785102285,-0.00018174114365334987
