freq,mu_Z_re,mu_Z_im,Z_re_res,Z_im_res
10000.0,0.024247871134087398,-9.4206745511391e-06,-0.0157450722720176,-0.02956916519652664
9120.1083984375,0.02424787969380061,-1.0329513588165942e-05,-0.01321377365798319,-0.027888945518770466
8317.6376953125,0.024247889984653555,-1.1326019649921455e-05,-0.008474862556650045,-0.025332716499453022
7585.77587890625,0.024247902356718226,-1.2418645559896027e-05,-0.005867765373851575,-0.0204324465423218
6918.3095703125,0.02424791723084248,-1.3616658059891187e-05,-0.005664966184975719,-0.020744385919777692
6309.5732421875,0.024247935112949707,-1.4930215755091091e-05,-0.004174254763487494,-0.01769171580401959
5754.3994140625,0.024247956611227365,-1.6370454534038433e-05,-0.002558505944896334,-0.015522502029045539
5248.07470703125,0.024247982456780455,-1.7949580906353243e-05,-0.0021347767566671436,-0.013508613422273155
4786.30078125,0.024248013528451347,-1.9680974123299753e-05,-0.0016079691476970533,-0.0129439432966087
4365.158203125,0.02424805088264088,-2.1579297753351005e-05,-0.00029355251866242105,-0.01239290236917355
3981.07177734375,0.02424809578913789,-2.36606215888056e-05,0.00355552751678569,-0.010478918812220704
3630.78051757813,0.024248149774155795,-2.594255459035569e-05,0.0010708389497615968,-0.010409618360814655
3311.31127929688,0.02424821467202605,-2.8444389875954987e-05,0.000494156266269051,-0.009137094887968055
3019.95166015625,0.024248292687264267,-3.118726243055344e-05,0.001559536921706968,-0.007389869604304153
2754.22875976563,0.024248386469095516,-3.419432070354276e-05,0.0015482220019992152,-0.006684285003955143
2511.88647460938,0.024248499200893628,-3.749091276703809e-05,0.0030389500420820274,-0.007554702051969138
2290.86767578125,0.024248634707503533,-4.110478785109272e-05,0.0012068350430061332,-0.005911137377733693
2089.29614257813,0.02424879758394253,-4.506631394595927e-05,0.001452656600241728,-0.005204871377104159
1905.46069335938,0.024248993349712762,-4.94087119708779e-05,0.000494640646022261,-0.005163663719327278
1737.80078125,0.024249228633636603,-5.416830669318542e-05,0.0013825641792957026,-0.0038057030424770853
1584.89318847656,0.024249511395207108,-5.938479414279955e-05,0.0030069133235127096,-0.0039650687828479995
1445.43981933594,0.024249851189291828,-6.510152497706956e-05,0.002167786888516328,-0.00374653025546487
1318.25671386719,0.02425025948251493,-7.136580160677706e-05,0.0025846062686563295,-0.003305299622927277
1202.26440429688,0.02425075003079858,-7.822918714165216e-05,0.00197427586786238,-0.003013305552388952
1096.47814941406,0.024251339329186494,-8.57478209233796e-05,0.002451620368066794,-0.0021735297251885798
1000.0,0.02425204714698335,-9.3982735523175e-05,0.0023539451317264523,-0.002373668545731475
912.010864257813,0.024252897162695308,-0.0001030001653430584,0.0021580942317442064,-0.0018203176654946584
831.763793945313,0.024253917715549005,-0.00011287183469237274,0.0017068030750747067,-0.0018721944276809729
758.577575683594,0.024255142691884668,-0.0001236752086035194,0.0007861434997660684,-0.002093751443614719
691.830993652344,0.02425661256654298,-0.00013549368358794603,0.0014086062286618808,-0.001047689686488546
630.957336425781,0.02425837562011226,-0.00014841668788316157,0.0022847005032156573,-0.0008803047986325615
575.43994140625,0.02426048935298248,-0.00016253965165852967,0.0023675394142083812,-0.0010417054263354296
524.807434082031,0.024263022115670656,-0.0001779637968952796,0.002210072821222757,-0.0016078195039967796
478.630096435547,0.024266054970311025,-0.00019479568121220502,0.002265324932621826,-0.00043336983483940503
436.515838623047,0.024269683790585108,-0.00021314641520435185,0.002349002790829207,-0.0007850628189188518
398.107177734375,0.024274021593705338,-0.00023313045262923605,0.0020067414472257385,-0.000535274604275836
363.078063964844,0.024279201077460504,-0.0002548638335772609,0.0023183763494484047,-0.00041564704271666094
331.131134033203,0.0242853773048728,-0.0002784617401327789,0.0017818355223743997,-0.0004084474650577789
301.995178222656,0.024292730435073333,-0.00030403520474985414,0.001179198443233935,-0.0005109825168580542
275.422882080078,0.024301468341676315,-0.00033168680279284574,0.001424894615141517,4.182937077475428e-05
251.18864440918,0.024311828884201275,-0.00036150516181012013,0.0021012327549030756,-0.0012415223981508202
229.086761474609,0.02432408150521743,-0.0003935581448303564,0.0015054155537270325,0.0007289606469867437
208.929611206055,0.024338527718703287,-0.0004278846225957074,0.0017892263328237873,9.427089125392562e-06
190.54606628418,0.024355499945128416,-0.00046448485776318273,-0.0005736156036014843,-0.0005652589952991827
173.780090332031,0.024375358047291292,-0.0005033096883930164,0.0017899585984196935,0.0001731536115034836
158.489318847656,0.02439848285576192,-0.0005442489322216361,0.001283801611865417,0.00015724162459956382
144.543975830078,0.024425265987778888,-0.0005871197410043006,-0.0009516182789552109,0.0010334281049552995
131.825668334961,0.024456095382720873,-0.0006316559826562345,0.0017704316081112725,0.0001111989170705655
120.226440429688,0.024491336274306167,-0.000677500101086497,0.001971636045138267,-0.0001266825774692969
109.647819519043,0.02453130778402025,-0.0007241991974247946,0.0015760894539945496,-0.003191907393915795
100.0,0.024576255992383972,-0.0007712072296202686,0.000581744999022471,0.0017578136572479312
91.2010803222656,0.024626325136952645,-0.0008178951063777649,0.0014969643866350434,0.000990300734189535
83.1763763427734,0.02468152941232885,-0.0008635699871972442,0.0013224952018853486,-9.279048601624422e-05
75.8577575683594,0.02474172852901463,-0.0009075042437066047,-0.02266732908817287,0.009798011498595294
69.1830978393555,0.02480661053960337,-0.0009489733406253039,0.0018014397919656686,-7.579317613550386e-05
63.0957336425781,0.02487568528383407,-0.0009873005047190398,0.0006038189771714678,-0.00034613077973313976
57.5439949035645,0.02494829104294592,-0.0010219047067316208,0.0015579997842532188,-0.00019086007844682082
