freq,mu_Z_re,mu_Z_im,Z_re_res,Z_im_res
10000.0,0.02057472547727281,-7.363743881923069e-06,-0.009266177879398488,-0.021902885995607125
9120.1083984375,0.02057473312048909,-8.07412015827919e-06,-0.00998943907291891,-0.02100754857110418
8317.6376953125,0.020574742309102632,-8.853011803376249e-06,-0.006725652762403868,-0.018452724301295076
7585.77587890625,0.020574753355457685,-9.707022577787249e-06,-0.005905671793744616,-0.016275082562238287
6918.3095703125,0.02057476663497337,-1.0643391310341788e-05,-0.0032964260736381285,-0.014942087469994241
6309.5732421875,0.020574782598858997,-1.167005252471164e-05,-0.0025315484068335024,-0.013482690438147713
5754.3994140625,0.020574801789384655,-1.2795702724534787e-05,9.08758507783547e-05,-0.009916490205733835
5248.07470703125,0.020574824858216635,-1.4029872803669678e-05,-0.0008951463068443653,-0.01113937372454877
4786.30078125,0.02057485258842966,-1.5383007105959953e-05,0.00036875134970205947,-0.009647714326259261
4365.158203125,0.020574885920926426,-1.686654964349743e-05,-0.000391127972558674,-0.008656057826968598
3981.07177734375,0.020574925986143012,-1.8493038068518787e-05,0.0050105550857505125,-0.007318097863743918
3630.78051757813,0.020574974142087258,-2.02762059517892e-05,-0.003001013524758043,-0.01281164159100729
3311.31127929688,0.02057503201996477,-2.223109392623515e-05,-0.00368766634727323,0.009778772056715665
3019.95166015625,0.0205751015788885,-2.4374170243749383e-05,-0.0010716476493505996,-0.00552133523488045
2754.22875976563,0.020575185171464012,-2.6723461256972712e-05,0.002554449117878013,-0.007416830955104573
2511.88647460938,0.02057528562237528,-2.9298692244982582e-05,0.00428346052159578,-0.005298980727095082
2290.86767578125,0.02057540632251326,-3.2121438879405155e-05,0.00580034899923626,0.0008813597309664949
2089.29614257813,0.020575551341640026,-3.5215289475486226e-05,0.0024791527794471267,-0.004853745111407786
1905.46069335938,0.020575725563151664,-3.8606017773258664e-05,0.0006938046741316629,-0.005317420136128758
1737.80078125,0.020575934845080936,-4.2321765763251485e-05,0.001635519611707336,-0.0032564489170587517
1584.89318847656,0.020576186212261528,-4.6393235343673383e-05,0.0014753860556682291,-0.0038971522423802735
1445.43981933594,0.02057648808523991,-5.085388706364561e-05,0.0031458249764142084,-0.0021298513239744457
1318.25671386719,0.020576850552557847,-5.574014303465426e-05,0.003285286058186447,-0.0010403046830110543
1202.26440429688,0.020577285693718583,-6.109158980551206e-05,0.0016064236627355843,-0.003745599505555612
1096.47814941406,0.02057780796125901,-6.695117540575519e-05,0.0011370415373183097,-0.002287593695520455
1000.0,0.02057843463120953,-7.336539249286868e-05,0.00332913914320963,-0.0024699945844278686
912.010864257813,0.02057918633186017,-8.038443658809504e-05,0.0025585769381442705,-0.0026813157662406947
831.763793945313,0.020580087661378678,-8.806232480215471e-05,0.004964711017542178,0.0001501325331546453
758.577575683594,0.020581167904593647,-9.645695606936165e-05,0.0030112180541536464,-0.0007202103086256617
691.830993652344,0.020582461858486494,-0.00010563008816103556,0.0018014126814358926,0.0007130693355282644
630.957336425781,0.020584010773660143,-0.00011564720017516808,0.0012485005644573416,0.0008722819754326319
575.43994140625,0.02058586341499361,-0.00012657720134080205,0.0039529637730029085,-0.004408867317293202
524.807434082031,0.020588077237941156,-0.0001384919381920184,0.0018528416809810572,-0.000225173317080916
478.630096435547,0.020590719666625772,-0.00015146544294177212,0.0009948619569795716,-0.00037091002715957213
436.515838623047,0.02059386944465994,-0.00016557285651592048,1.569366150264151e-05,-0.0011192820393110205
398.107177734375,0.02059761800879291,-0.00018088895263286678,-0.0013457369703644903,0.0022347934693642334
363.078063964844,0.020602070807665233,-0.0001974861858362739,-0.0008209244467321658,-0.0001254159193668921
331.131134033203,0.020607348452515252,-0.00021543218970622048,0.0006758998289772521,-0.0029048475458505205
301.995178222656,0.02061358754425197,-0.00023478666609892223,0.0005390039542212677,0.0006758010591305778
275.422882080078,0.020620940974595412,-0.00025559763788431615,1.11970814489111e-05,0.0004178248938060838
251.18864440918,0.020629577452056777,-0.00027789709059323554,-0.002526001891381323,0.00012378533353286448
229.086761474609,0.0206396799646654,-0.00030169610770581975,0.0010116990767755005,0.0007605694895779804
208.929611206055,0.02065144287441802,-0.0003269797135611152,0.00012956367825102053,0.0006750953206324849
190.54606628418,0.02066506735647558,-0.0003537017715491707,-7.877953683491784e-05,-4.37914664719707e-05
173.780090332031,0.020680754970185365,-0.000381780435452543,0.0009417008267565662,0.00020707748259385698
158.489318847656,0.02069869928965088,-0.000411094794256663,0.0028900496006917797,-0.000769511900583263
144.543975830078,0.020719075739477958,-0.00044148345687031654,-0.0002337431757699418,0.0009007061577906834
131.825668334961,0.020742030065874075,-0.00047274585295212224,-0.007466654110332524,0.0025352772842745777
120.226440429688,0.020767666197283645,-0.000504646942158436,0.0002018099491433445,0.002586509540538064
109.647819519043,0.02079603456308017,-0.0005369258003602383,-0.0021357107127749284,0.0006153812275905618
100.0,0.02082712217911297,-0.0005693081847230305,-0.0012594757999558302,-0.0030432927968749306
91.2010803222656,0.020860845907145473,-0.0006015226996960404,0.0001364487544831712,-0.0005295522666410829
83.1763763427734,0.020897050198747893,-0.0006333196557169161,-0.00027006417827390647,0.000870918689943284
75.8577575683594,0.02093551032495988,-0.0006644912182581951,-0.0003518489723156222,-0.0005633629453131951
69.1830978393555,0.020975941588231295,-0.0006948910803948989,7.395239646069626e-05,-0.00032539883153009886
63.0957336425781,0.021018014380842956,-0.0007244517341650945,-0.0001019545848066454,0.0003216972095497056
57.5439949035645,0.0210613742850207,-0.0007531975079092388,0.00040649291197289786,-0.00021271754845493876
52.4807472229004,0.021105665812013695,-0.0007812518744463623,-0.0008395834772605033,0.00024273822766583773
47.8630104064941,0.02115055794176764,-0.000808838069959872,-0.0018242703163891608,0.000864830203764728
43.6515846252441,0.02119576941429968,-0.0008362727129235608,-0.0003321877569020179,-0.0006715426169205608
39.810718536377,0.02124109175646954,-0.0008639527797371463,0.00036797728980234035,-0.00029775562795334636
36.307804107666,0.021286408284381716,-0.0008923368831741488,0.0005987722963846157,0.0007630931841564511
33.1131134033203,0.02133170774210503,-0.000921922243022064,0.00011236665774392793,-0.00033746505697136394
30.1995162963867,0.021377091749279233,-0.0009532189931047705,0.00011237849172803308,0.0005435768046157296
27.5422878265381,0.02142277575056165,-0.0009867235364482932,-0.0003573556341686518,-0.0003423846953639932
